,Anthropic,Google,OpenAI
logo,"<div style=""display:inline-block; background:white; border-radius:50%; width:48px; height:48px; display:flex; align-items:center; justify-content:center;""><img src=""./assets/claude.svg"" style=""width:32px; height:32px; display:block; margin:auto;"" /></div>","<div style=""display:inline-block; background:white; border-radius:50%; width:48px; height:48px; display:flex; align-items:center; justify-content:center;""><img src=""./assets/gemini.svg"" style=""width:32px; height:32px; display:block; margin:auto;"" /></div>","<div style=""display:inline-block; background:white; border-radius:50%; width:48px; height:48px; display:flex; align-items:center; justify-content:center;""><img src=""./assets/openai.svg"" style=""width:32px; height:32px; display:block; margin:auto;"" /></div>"
model,claude-3-5-sonnet-latest,gemini-2.0-flash,gpt-4o-mini
chat model,"Federal share is 80% of project costs. Maximum grant amount is $15 million per eligible entity, with special provisions allowing up to 85% federal share for rural/underserved areas.",Federal share is 80%. Maximum grant is $15 million.,"Under the Wireless Electric Vehicle Charging Grant Program, the federal share can be up to 80% of project costs, with a maximum grant amount of $2 million per project."
length answer_1,189 characters,51 characters,168 characters
prompt template,Der Bundesanteil beträgt 80% der förderfähigen Projektkosten. Die maximale Fördersumme pro Projekt liegt bei 15 Millionen Dollar im Rahmen des Wireless Electric Vehicle Charging Grant Programms.,"Der Bundesanteil beträgt 80 %, die maximale Fördersumme 1 Million US-Dollar.",Der Bund beteiligt sich bis zu 80 % der förderfähigen Kosten und der maximale Zuschussbetrag im Rahmen des Wireless Electric Vehicle Charging Grant Program beträgt 5 Millionen USD.
length answer_2,150 characters,63 characters,282 characters
classification,share=80 amount=25000000 language='en',share=80 amount=25000000 language='english',share=80 amount=25000000 language='English'
extraction,share=80 amount=25000000 language='en',share=80 amount=25000000 language=None,share=80 amount=25000000 language=None
multiple entities,"program=[Program(share=80, amount=25000000, language='en'), Program(share=60, amount=None, language='de')]","program=[Program(share=80, amount=25000000, language='en'), Program(share=60, amount=500000000, language='de')]","program=[Program(share=80, amount=25000000, language='English'), Program(share=60, amount=500000000, language='German')]"
without examples,"program=[Program(share=None, amount=None, language='English')]",program=[],"program=[Program(share=100, amount=2000000, language='English')]"
